step_order,event_name
1,INIT_CLIENT_START
2,INIT_CONFIG_LOADED
3,INIT_LOCALIZATION_START
4,INIT_LOCALIZATION_END
5,INIT_UPDATE_MAINTENANCE_CHECK
5B,INIT_UPDATE_MAINTENANCE_BLOCKED
6,INIT_ASSET_PATCH_START
7A,INIT_ASSET_PATCH_SIZE_ACCEPTED
7B,INIT_ASSET_PATCH_SIZE_DECLINED
7C,INIT_ASSET_PATCH_FAILED
8,INIT_ASSET_PATCH_END
9,INIT_DATA_MODEL_LOAD_START
9B,INIT_DATA_MODEL_LOAD_FAILED
10,INIT_DATA_MODEL_LOAD_END
11,INIT_READY_TO_START
12,INIT_PRIVACY_POLICY_DIALOGUE_SHOWN
13A,INIT_PRIVACY_POLICY_DIALOGUE_ACCEPTED
13B,INIT_PRIVACY_POLICY_DIALOGUE_DECLINED
14,APPLE_TRACKING_CONSENT_DIALOG_REQUESTED
14A,APPLE_TRACKING_STATUS_AUTHORIZED
14B,APPLE_TRACKING_STATUS_DENIED
15,INIT_PLAYER_LOGIN_START
16,INIT_PLAYER_LOGIN_END
17,INIT_GAME_JOINED
18,INIT_NOTIFICATIONS_START
19,INIT_NOTIFICATIONS_END
20,INIT_PAYMENT_SERVICE_START
21,INIT_PAYMENT_SERVICE_END
